"eng_size_l","fuelcomblit","co2_emit"
2,8.7,203
1.2,5.9,139
1.2,6.3,147
2.4,8.4,193
2.4,9,207
3,10.4,238
2,8.7,202
2,9.3,214
2.4,9.6,223
3.7,11.1,260
3.7,11.5,269
3.7,11.5,270
3.7,11.8,278
2.5,7.5,176
3.5,9,212
2.5,7.7,181
2.5,12.1,285
2.5,11.3,266
4,12.7,300
4,13.7,322
4,13.3,313
3.8,12.6,294
1.6,7.9,186
1.6,7.8,183
1.6,8.2,194
1.6,8.3,194
1.6,8.8,208
3.5,9.5,223
1.6,7.8,184
1.6,7.7,182
3.5,9.8,230
3.5,9.9,232
2,9.4,220
3.5,10.4,245
3.5,10.7,251
3.5,11,258
2.5,8.2,194
2.5,8.6,201
1.8,7.2,167
1.8,7.9,184
1.6,6.8,161
1.6,7.6,179
3.4,10.1,238
3.4,10.6,249
3.4,10.1,236
3.4,10.7,251
3.8,11,259
3.8,11.2,262
3.8,11.1,260
3.8,11.6,272
3.8,10.5,245
3.8,10.7,252
3.8,10.6,250
3.8,10.9,255
3.4,10.2,240
3.4,10.7,251
3.4,10.5,246
3.4,10.9,257
3.8,11.1,260
3.8,11.3,265
3.8,11.4,268
3.8,11.6,272
3.8,10.7,251
3.8,11,258
3.8,11,257
3.8,11.2,262
3.8,14,329
4,14.3,334
3.4,10.8,253
3.4,11.1,261
3.8,11.2,260
3.8,11.4,267
3.8,11.9,278
3.8,11.9,278
3.8,11.9,278
3.8,11.9,278
2.7,9.2,217
2.7,9.9,232
3.4,9.5,222
3.4,10.7,250
3.4,9.8,230
3.4,10.4,245
3.8,11.6,272
3.6,11.8,277
3,9.8,270
3.6,12.8,300
3.6,12.2,286
4.8,14.2,334
4.8,14.3,336
2.7,9.2,217
2.7,9.9,232
3.8,11.8,277
3.4,9.5,222
3.4,10.7,250
3.4,9.8,230
3.4,10.4,245
3,12.2,285
3.6,12.3,287
3.6,10.9,255
4.8,12.7,298
3,11.4,267
3.6,11.1,262
3,11.4,267
3,11.5,271
4.8,12.8,300
4.8,12.9,303
4.8,12.8,300
4.8,12.9,303
3.6,11.9,279
3.6,16.8,279
3.6,11.3,264
5.7,14.8,348
5.7,13.6,319
3,10.2,272
3,9.8,264
3.6,12.6,294
3.6,17.8,296
5.7,15.4,362
5.7,14.1,330
3,10.6,283
2.4,9.8,231
6.6,16.1,373
6.6,16.1,373
6.7,17.2,403
6.7,17.2,404
6.7,17.2,403
6.7,17.2,404
6.6,15.6,367
2,8.4,197
2,9.6,224
1.8,7.4,173
1.8,7.7,180
2.5,9,211
2.5,9,210
0.9,6.9,157
0.9,6.9,157
2,8.4,197
2,9.6,224
2,9.4,222
2.5,8.7,204
2.5,9.6,227
2,7.6,177
2,8.4,197
2,7.6,177
2,8.4,197
2.5,7.9,185
2.5,9.4,220
3.6,10.2,239
2.5,8.3,196
2.5,9.7,228
3.6,10.5,246
2,11.2,254
2,10,233
2.5,12.2,285
2,8.1,191
2,9.1,214
2,7.5,175
4,12.8,298
4,12.8,298
3.5,9.7,225
2.5,8.2,192
3.5,9.5,222
2.5,5.7,134
2.5,5.9,137
1.8,7.6,179
1.8,7.3,171
1.8,7.1,166
1.8,7.5,174
1.8,6.8,160
1.8,6.9,162
3.5,11.1,260
3.5,11.6,272
3.5,8.5,198
3.5,8.4,195
1.8,4.5,104
1.5,4.7,111
1.8,5.6,131
2.5,9,212
2.5,9.5,220
2.5,7.2,169
2.5,8.9,208
2.5,9.4,220
5.7,16.6,382
3.5,11.4,267
3.5,12.5,290
2.7,11.1,261
3.5,11.4,267
2.7,11.7,274
2.7,11.9,279
3.5,11.9,280
3.5,12.5,292
3.5,12.9,300
4.6,14.3,335
5.7,15.4,360
4.6,15.1,351
5.7,16.3,380
2.7,10.4,244
3.5,10.9,256
2.7,10.5,241
3.5,11.3,263
1.5,6.4,151
1.5,6.7,157
1.5,7.3,170
1.5,7.1,165
1.8,8.4,196
1.8,8.4,196
1.8,8.4,196
1.8,8.7,203
2,9.3,217
1.8,8.1,189
1.8,8,187
2,8.5,198
2,8.3,193
2,9.3,216
2,9.4,220
1.8,8.2,193
1.8,8.2,192
1.4,7.3,173
1.4,7.2,168
1.8,8,186
1.8,8.1,189
2,8.6,201
2,8.8,207
1.4,5.3,124
1.8,8,187
1.8,8.1,189
3.6,10.4,243
2,10.7,251
2,11.2,259
2,10.6,248
3.6,12.4,292
3,9.8,270
2.5,10.3,239
2,8.3,193
2.5,10.1,233
2,8.3,193
2.5,10.1,233
2,9.3,218
2,9.9,231
3,11.2,259
3,11.2,259
2,8.3,193
2.5,10.3,239
2,8.3,193
2.5,10.1,233
2,9.9,231
3,11.2,259
3,11.2,259
2,9.1,213
2.5,11,254
2,9.7,226
2,10.6,247
3,12,276
2,9.1,213
2.5,11,254
2,10,232
2,10.2,239
2,10.6,247
2.4,8.2,192
3.5,11,259
3.5,10.7,251
3,9,210
3.5,11,261
3.5,10.7,250
3.5,8.1,190
2.4,8.3,197
3.5,9.6,226
1.8,8.4,197
1.8,8.4,197
2,8.7,205
2,9.2,217
2.9,11.9,280
5.2,13.7,322
6,14.1,331
6,14.7,345
6,16.4,388
6,19.2,450
2,8,188
2,8.7,205
2,9.5,223
2,7.6,177
2,8.8,205
2,8.6,204
2,9.3,217
2,9.7,226
2,9,210
2,9.9,231
2,9.4,220
3,10,238
3,10,238
3,10.5,246
4,10.7,249
4,10.9,255
2,10.3,243
2,10.3,241
2,10.5,246
3,11.4,267
2,10.8,253
3,11.1,260
5.2,14.1,330
5.2,14.1,330
4,13.1,309
2,9.9,232
3,11,259
3,11.7,273
3,11.4,266
4,11.3,263
4,11.4,265
4,13.4,312
3,12.2,285
2,9.1,209
2,9.1,209
2,9.5,222
6,15.9,370
4,13.1,307
6,15.4,360
4,14.4,337
6,16,375
4,13.8,321
6,16,375
6.8,17.5,407
6.8,18.3,430
2,8.7,207
2,8.4,197
2,9.4,219
2,9.1,213
2,9,210
2,8.4,200
2,8.6,202
2,8.8,206
2,7,189
2,7,189
2,9.1,213
2,9.1,213
2,9.1,213
3,9.6,224
3,10.4,242
3,9.8,228
3,10.5,246
3,10.2,238
2,9.1,211
2,9.1,213
2,9.1,213
3,9.6,224
3,10.4,242
3,10.2,238
3,9.8,228
3,10.5,246
3,9.8,228
2,9.1,213
3,9.8,228
3,10.6,249
3,10.6,249
4.4,12.5,292
4.4,11.7,273
4.4,12.5,292
3,10.2,238
4.4,11.7,273
4.4,12.5,292
4.4,12.5,292
4.4,12.5,292
3,10.5,245
3,11.4,267
3,9.6,224
3,10.4,242
3,9.6,224
3,10.7,250
3,9.8,228
3,9.8,228
3,12.1,284
3,11.7,273
3,12.1,283
3,11.7,273
3,12.1,284
3,11.7,273
4.4,14.7,343
4.4,13.8,324
4.4,14.7,343
4.4,13.8,324
4.4,14.7,343
4.4,13.8,324
6.6,15.1,355
2,9.1,213
2,8,211
2,10,233
3,11.1,260
3,11.1,260
2,10.3,240
4.4,14.6,341
3,9.3,249
3,11.5,270
4.4,13.7,320
4.4,14.6,341
3,11.5,270
4.4,13.7,320
3.6,13.4,315
3.6,13.7,322
1.4,8.3,194
1.4,7.9,185
1.4,8.8,208
1.4,8.3,196
2,10.6,248
2.5,9.9,232
3.6,9.5,224
3.6,10,235
2,9.9,233
2,10.7,250
2.4,9.7,226
2,9.3,217
2,10.1,236
2.5,9.2,216
3.6,10,234
2,9.5,222
3.6,10.6,248
3.6,11.9,279
3.6,12.6,295
2,9.5,223
3,11.2,263
3.6,11,259
2,9.5,223
3.6,10,234
2,9.8,229
3.6,10.6,248
3.6,12.7,299
6.2,14,329
6.2,14.1,331
3.6,10.5,245
3.6,11.1,260
3.6,11.1,260
3.6,11.6,272
3.6,12.8,299
2,9.5,222
2,10.1,236
3.6,10.6,249
3.6,11.7,274
6.2,11.7,273
6.2,12.1,284
6.2,15.6,367
6.2,14.9,349
2,9.4,220
2.5,10.7,252
2.5,10.9,254
2.8,9.5,255
3.6,11.7,274
2.5,11.3,263
2.8,10.4,280
3.6,12.2,286
2.8,11.7,315
3.6,14.1,331
6.2,12.4,290
6.2,11.9,278
6.2,14.3,336
6.2,13.4,312
1.4,7,165
1.4,7.3,170
1.4,7.2,169
1.6,6.4,172
1.6,6.3,169
1.4,7.3,172
1.4,7.4,173
1.4,7.5,176
2.4,9.4,221
2.4,9.4,221
2.4,13.6,223
3.6,12.1,285
2.4,10.1,237
2.4,10.1,237
2.4,14.2,234
3.6,13,304
6,18.6,438
6,19,445
2.5,9.5,224
3.6,10.6,249
3.6,14.6,240
1.5,7.8,182
2,9.1,212
1.8,5.1,121
5.3,12.7,297
5.3,13.1,309
6.2,13.8,324
4.3,11.9,279
4.3,17.1,284
5.3,12.7,298
5.3,17.1,284
5.3,13.1,307
5.3,13.9,327
6.2,14.1,330
4.3,12.5,294
4.3,18,294
5.3,13.1,307
5.3,17.9,315
5.3,13,303
1.4,7.8,184
1.4,7.4,174
1.8,8.4,197
1.8,8.3,194
1.4,7.8,184
1.4,7.4,174
1.8,8.4,197
1.8,8.3,194
1.4,7.1,167
1.4,7.2,168
5.3,13,305
5.3,13,305
5.3,17.1,284
5.3,13.3,312
5.3,13.3,312
5.3,19.1,317
5.3,13,305
5.3,13,305
5.3,17.1,284
5.3,13.2,310
5.3,13.2,310
5.3,18,299
3.6,13.4,315
3.6,13.7,322
1.4,8.3,194
1.4,8.2,194
1.4,8.8,208
2.4,8.6,201
2.4,11.7,192
3.6,10.2,241
3.6,13.9,230
3.6,10.8,252
3.6,14.4,237
3.6,10.3,242
5.7,12.3,289
3.6,11,258
3.6,11,258
3.6,15,248
3.6,10.9,257
3.6,10.6,249
3.6,10.3,242
5.7,13.1,307
6.4,13.9,325
5.7,12.3,289
6.4,12.9,302
3.6,11,258
6.4,13.9,325
6.4,12.9,302
6.2,14.5,339
6.2,15.1,352
3.6,11.6,271
3.6,10.3,242
5.7,12.9,302
5.7,12.3,289
6.4,12.9,302
3.6,11,258
3.6,11,258
3.6,15,248
5.7,13.3,312
6.4,12.9,302
6.2,14.5,339
3.6,11.3,265
5.7,14,328
3.6,11.8,276
3.6,16.7,274
2.4,11.1,261
3.6,12.1,284
3.6,16.4,274
3.6,12.4,292
8.4,16.6,387
1.4,8,187
1.4,7.9,185
1.4,8,186
1.4,7.3,171
1.4,8,186
1.4,7,163
1.4,8.7,202
1.4,7.9,186
1.4,8.7,202
1.4,7.9,186
1.4,9.4,221
1.4,8.4,197
2.4,9.3,219
2.4,9.7,226
2,5.9,138
2,9.9,233
2,9.8,230
3.5,11.5,270
2,10.4,244
2.7,12,281
3.5,12.1,284
1.5,9.1,214
2,9.5,222
2.5,9.7,229
2.5,13.3,219
1.5,9.6,226
2,10.2,239
3.5,14.2,333
3.5,14.3,337
2.3,10.8,254
3.5,12,281
3.5,16.1,264
2.3,11.3,266
3.5,13,305
3.5,12.6,296
3.5,17.2,284
2.7,10.9,256
2.7,11.2,263
2.7,11.6,272
3.5,11.3,264
3.5,11.7,274
3.5,12.4,290
3.5,11.6,272
3.5,15.8,258
5,13.2,310
5,17.7,291
5,14.5,340
5,17.7,291
2.7,11.8,276
2.7,12.5,293
2.7,12.3,288
3.5,12.1,284
3.5,12.3,288
3.5,12.7,298
3.5,12.5,293
3.5,16.9,281
5,13.8,323
5,18.6,305
5,14.1,330
5,18.6,306
5,14.8,347
5,19.6,326
3.5,14.5,339
1.6,7.6,178
1.6,7.8,182
1,6.8,158
1.6,8.2,192
3.5,12.7,298
3.5,12.9,303
3.5,13.7,321
1,7.5,176
1,7,164
2,7.9,185
2,10.6,177
2,8,189
2,10.9,182
2,8.3,195
2,11.4,188
2.3,10.9,256
2,9.3,219
1.5,8.7,204
2,9.6,225
2.5,9.6,224
2,10.1,238
2.7,11.5,270
2,5.6,131
3.5,17.3,406
2.3,9.6,226
2.3,10.2,239
2.3,9.8,230
2.3,9.8,230
3.7,11.1,259
3.7,11.5,271
5,12.9,303
5,13.1,307
5,13.8,324
2.3,10.2,239
2.3,10.1,237
5,13.2,309
5,13.8,324
5.2,14.6,341
3.5,14.6,344
3.7,15.1,354
3.7,20.9,343
2,10.1,238
3.5,11.1,260
3.5,15,249
3.5,12.5,293
3.5,12.4,291
3.5,16.3,271
2.5,10.4,244
2.5,14.2,234
2.5,10.8,253
2.5,14.7,242
3.8,12.1,286
5,14.2,332
3.3,11.9,279
5,13,306
2.5,10.2,239
3.6,11.3,265
2.5,10.4,243
3.6,11.6,271
2.5,10.7,252
2.5,10.9,254
2.8,9.5,255
3.6,11.7,274
2.5,11.3,263
2.8,10.4,280
3.6,12.2,286
6,18.6,438
6,19,445
5.3,12.7,297
5.3,13.1,309
6.2,13.8,323
4.3,11.9,279
4.3,17.1,284
5.3,12.7,298
5.3,17.1,284
5.3,13.1,307
5.3,13.9,327
6.2,14.1,330
4.3,12.5,294
4.3,18,294
5.3,13.1,307
5.3,17.9,317
5.3,13,303
2.4,9.4,221
2.4,9.4,221
2.4,13.6,223
3.6,12.1,285
2.4,10.1,237
3.6,13,304
5.3,13,305
5.3,13,305
5.3,17.1,284
5.3,13.2,310
5.3,13.2,310
5.3,18,299
6.2,14.1,330
5.3,13,305
5.3,13,305
5.3,17.1,284
5.3,13.3,312
5.3,13.3,312
5.3,19.1,317
6.2,14.2,333
2.4,8.2,190
2.4,9,210
3.5,9.6,225
3.5,10.9,254
2.4,7.8,180
3.5,9.5,223
2,5,114
1.5,6.8,158
1.5,6.8,159
2,7,163
2,7.4,173
1.5,6.6,153
2,7,163
2,7.4,172
1.5,6.9,162
1.5,7.3,170
1.5,7.3,170
1.5,7.2,167
1.5,7.2,167
1.5,7.8,181
1.5,8,188
1.5,6.5,154
1.5,7,164
1.5,7.4,174
1.8,7.7,180
1.8,7.7,180
1.8,8.4,195
1.8,8.2,194
1.8,8.2,194
3.5,10.7,251
3.5,10.8,254
3.5,11.3,266
3.5,11,256
3.5,11.3,264
1.6,7.9,182
1.6,7.8,184
2,7.4,174
2,8,187
2,8.7,206
2,8.7,204
1.6,4.4,103
1.6,4.1,96
3.3,11.3,265
3.3,11.5,269
2.4,10,235
2,11.2,264
2.4,10.7,253
3.3,12.5,295
2,9.2,216
2.4,8.2,194
2.4,8.7,207
2,6,143
2,5.7,137
1.6,9.3,221
2,9,213
2,10.2,241
1.6,7.6,180
1.6,8,188
1.6,8.2,193
1.6,8.4,200
2,9.6,226
3,10.9,256
3,10.9,257
3.5,8.5,200
2,10,233
3,10.8,253
3,11,259
3.7,11.7,274
5.6,12.8,300
3.5,7.8,184
2,8.5,200
2,9.4,221
3.7,11.9,280
3.5,10.5,246
3.5,10.9,257
2.5,9.1,214
3.7,12.8,301
5.6,15.1,355
3,11.8,277
3,10.4,242
3,12.6,296
3,10.4,242
3,12.6,296
5,13.3,311
5,13.3,311
3,10.8,253
3,12.9,302
3,11.3,265
3,10.8,253
3,12.9,302
3,11.3,265
2,6.9,186
3,10.2,238
2,6.9,186
3,10.4,243
3,11.8,276
3,11.9,280
5,13.3,313
5,13.3,313
2.4,9.6,225
3.2,10,234
2.4,10,235
3.2,10.3,241
2.4,10.2,240
3.2,11.1,259
2.4,10.9,256
3.2,11.6,269
2,10,235
2,9.3,216
2.4,10.1,238
2.4,9.3,219
2.4,10.6,249
2.4,11.1,259
2.4,9.8,230
3.6,11.3,265
5.7,14,328
6.4,15.7,368
2.4,9.3,218
2.4,9,211
2.4,9.5,222
2.4,9.4,221
2,10,235
2,9.3,216
2.4,10.1,238
2.4,9.3,219
2.4,10.6,249
2.4,11.1,259
2.4,9.8,230
1.4,8.9,209
2.4,9.5,222
2.4,12.5,206
1.4,8.9,211
2.4,9.8,230
3.6,12.8,299
3.6,12.8,298
3.6,13.4,313
3.6,13.3,312
3.3,10.2,237
2,7.2,170
2,8.3,198
2,8.3,195
1.6,8.7,207
2,8.3,197
2,8.7,204
1.6,8.6,204
1.6,9.2,216
2,8.6,203
2,8.8,209
3.8,11.8,279
5,13.3,317
1.6,4.8,114
1.6,4.7,110
1.6,5.4,129
2.4,8.4,198
2.4,8,190
2,9.4,224
2,5.6,132
1.6,7.8,181
1.6,7.8,181
2,8.9,210
3.3,11.6,275
3.3,11.4,269
3.3,12.5,296
2.4,9.9,234
2,11,259
2.4,10.5,246
3.3,12.2,289
3.3,11.4,270
1.6,8.7,205
1.6,8.8,208
2,8.7,206
1.6,8.5,199
2.4,9.3,220
2,11.1,263
2.4,10.5,247
6.5,17.9,428
6.5,19.7,461
6.5,18.7,438
6.5,19.7,461
5.2,14.2,331
5.2,14.6,340
2,10.7,252
2,9.8,231
2,10.4,243
1.8,5.7,132
2.5,5.9,139
3.5,9.7,226
3.5,11,257
3.5,7.5,176
5,12.5,293
4.6,14.6,341
2,9.1,214
3.5,11,258
3.5,11,258
4.6,12.9,303
4.6,12.9,303
5.7,15.8,372
2,9.7,226
2,9.9,232
2.5,7.5,176
3.5,11,258
3.5,11,258
5,12.6,289
3.5,10.8,252
3.5,7.9,185
2.7,12,281
3,12.3,288
3.7,12.2,287
2,10.9,256
2,10.8,254
2.3,11.4,268
3.5,13.7,321
3.7,12.7,298
2.7,12.1,284
3.7,12.5,293
2,9.8,230
3,11.2,264
2,10.2,239
3,11.8,278
2,5.9,139
3.5,14.2,333
3.5,14.5,339
3,12.4,286
3,12.4,293
3,12.6,295
4.7,15.1,355
4.7,15.2,358
3,14.7,340
3,14.7,346
3.8,13.8,321
3,13.1,300
3,13.1,301
2,7.6,179
2,8.2,192
2,8.5,199
2.5,8.6,204
2.5,9.2,221
2.5,9.6,225
2.5,10.4,242
2,7.5,176
2,7.5,175
2,7.5,175
2.5,7.8,182
2.5,7.6,176
2.5,8.2,194
2,7.5,174
2,7.6,178
2.5,7.8,183
2.5,7.8,181
2.5,8.4,198
2.5,9.6,226
2.5,9.8,230
2.5,8,187
2.5,7.9,186
2.5,8.4,196
2,8,187
2,8.1,190
4,11.7,273
4,12.2,291
4,12.1,285
4,11.7,273
4,12.2,291
4,12.1,285
2,9.3,221
5.5,13.1,308
5.5,18.5,413
6,20.3,467
2,10,233
3,14.6,353
3,12,281
3,12,281
5.5,15.6,363
5.5,15.2,363
5.5,16.3,369
4,12.8,303
4,12.8,303
5.5,13.2,313
5.5,13.8,322
5.5,13,305
6,14.6,349
6,14.3,348
6,15.5,365
5.5,12.4,298
6,14.5,340
3,10.1,234
2,8.3,179
2,9,212
2,9.5,222
2,9.3,218
2,8.1,190
4.7,11.7,275
2,9.5,246
3,10.4,245
3,11,259
3,10,233
3,10.2,239
4.7,11.7,275
4.7,11.4,268
4,17.9,401
2,9.1,212
2,12,128
2,10,233
3,11.7,276
4.7,13.5,318
3,13,306
4.7,15,347
6,15,359
2,10.2,240
2,10.5,248
3,10.8,253
4.7,12,280
4.7,12,280
4.7,11.8,276
4.7,11.9,278
6,14.5,350
3,10.1,237
4.7,11.7,275
2,8.5,200
1.5,7.9,184
1.5,7.5,175
1.5,7.9,184
1.5,7.5,175
1.5,8.4,197
1.5,8.4,197
1.5,9.1,213
1.5,9.1,214
1.5,7.9,184
1.5,7.5,175
1.5,8.4,197
1.5,8.4,197
1.5,9.2,215
1.5,9.1,214
2,8.3,196
2,8.9,210
2,8.3,196
2,8.9,210
2,8.7,205
2,9.4,220
2,9,210
2,9.7,227
2,8.4,196
2,8.9,210
2,9.1,213
2,9.7,227
2,8.3,196
2,8.9,210
2,9,210
2,9.7,227
2,8.4,196
2,9.4,220
2,7.9,183
2,8.5,200
2.4,8.9,206
2.4,9.3,218
2.4,9.2,212
2,8.4,194
2,8.7,205
1.2,6,141
1.2,6.5,150
1.2,6.4,149
1.2,6.6,155
2.4,8.4,197
2.4,9,211
3,10.4,242
2,8.8,204
2,9.3,216
2,9.2,213
3.7,11.1,261
3.7,11.5,269
3.7,11.5,270
3.7,11.8,278
2.5,7.5,176
3.5,9.1,214
2.5,7.8,183
5.6,15.4,362
2.5,12.2,286
2.5,11.4,268
4,12.9,304
4,13.8,326
4,13.5,317
3.8,12.8,300
1.6,8,189
1.6,8,188
1.6,8.4,199
1.6,8.4,197
1.6,8.9,209
3.5,9.6,225
1.6,7.9,186
1.6,7.9,185
3.5,9.8,230
3.5,9.9,232
2,9.4,220
3.5,10.2,240
3.5,10.7,250
3.5,11,258
2,8.1,191
2,9.2,216
2,8.4,197
2.5,8.2,192
2.5,8.6,203
1.6,8.2,193
1.6,8.3,195
1.8,7.3,171
1.8,8,187
1.6,8.7,205
1.6,8.7,204
5.6,13.3,312
5.6,13.4,315
5.6,14.2,333
1.6,7,164
1.6,7.7,180
3,9.4,221
3,10.1,237
3,9.7,227
3,10.3,241
3,9.7,226
3,10.4,242
3,9.7,228
3,10.4,243
3,9.6,225
3,10.4,242
3,9.8,230
3,10.5,246
3,9.9,232
3,10.4,243
3,9.9,231
3,10.5,246
3,9.8,228
3,10.5,246
3,10,233
3,10.5,246
3.8,11.4,266
3.8,11.4,267
3.8,11.4,266
3.8,11.4,267
2,9.4,219
2,9.8,229
2.5,9.9,230
2.5,10.7,249
3.6,11.5,268
3.6,12.1,281
3.6,12,281
3.6,12.6,296
4.8,14.2,334
4.8,14.2,334
2,9.4,219
2,9.8,229
2.5,9.9,230
2.5,10.7,249
2,10.6,248
3,12.2,285
3,12.3,287
3.6,12.3,287
3.6,11.9,280
3.6,17,283
5.7,14.8,346
5.7,13.6,319
3,10.4,278
3.6,12.6,294
3.6,18,300
5.7,15.4,361
5.7,14,328
3,10.8,289
2.4,9.9,232
6.6,16.7,390
6.6,16.7,390
6.6,16.7,390
6.7,17.1,400
6.7,17.1,400
6.7,17.1,400
6.7,17.1,401
6.6,16.1,375
0.9,6.7,152
2,8.6,200
2,9.7,228
2,8.2,193
2,9.2,216
2,9.5,223
2.5,8.4,196
2.5,9.7,228
2,7.5,174
2,8.9,208
2,7.5,176
2,9,211
2.5,8.3,194
2.5,9.5,222
3.6,10.3,241
2.5,8.4,198
2.5,9.8,229
3.6,10.5,247
2,11.2,255
2,10,235
2.5,12.2,285
4,13.3,310
4,13.3,310
2,8.7,204
2,9.9,232
3.5,9.7,226
2.5,8.6,199
3.5,9.6,224
2.5,5.9,137
2.5,6,141
1.8,7.5,174
1.8,7.5,178
1.8,7.5,176
1.8,6.9,163
1.8,7.2,168
1.8,7.5,176
1.8,7.9,185
3.5,10.3,243
3.5,10.6,251
3.5,10.6,247
3.5,10.4,242
3.5,8.3,193
1.8,4.5,105
1.5,5.1,120
1.8,5.8,135
2.5,9.2,217
2.5,9,210
2.5,9.5,222
2.5,9.7,226
2.5,7.3,170
5.7,16.5,380
3.5,10.9,255
3.5,11.7,274
2.7,11.2,263
3.5,11.4,268
2.7,11.7,274
2.7,11.9,279
3.5,12,283
3.5,12.8,301
3.5,12.9,300
4.6,14.2,334
5.7,15.3,358
4.6,14.9,349
5.7,16.2,378
1.5,6.6,155
1.5,6.8,164
1.5,7.4,173
1.5,7.2,168
1.8,8.5,199
1.8,8.4,198
1.8,8.6,201
1.8,8.5,199
3.6,11.8,277
1.8,8.2,192
1.8,8.1,190
2,8.5,199
2,8.5,198
2,9.3,216
2,9.4,220
1.8,9.4,220
1.8,8.2,192
1.8,8.3,194
1.8,9.4,220
1.4,7.4,175
1.4,7.2,168
1.8,8.2,193
2,8.7,205
2,8.9,208
1.8,8.7,204
3.6,10.4,242
2,10.7,256
2,11.1,263
3.6,12.2,287
2,8.4,198
2,9.4,219
2,8.4,198
2,9.4,219
2,9.5,221
2,10.3,241
2,9.4,220
2,8.7,204
2,9.4,219
2,8.4,198
2,9.4,219
2,9.5,221
2,10.3,241
2,9.4,220
2,8.7,204
2,9.4,219
2,9.4,221
2,9.2,216
2,10,233
2,10.4,244
2,10,232
2,10.2,239
2,10.6,249
2.4,8.2,192
3.5,11,259
3.5,10.7,251
3,9,210
3.5,11,261
3.5,10.7,250
3.5,8.4,196
2.4,8.7,205
2.4,8.9,209
3.5,9.8,228
3.5,10.3,240
1.8,8.4,197
1.8,8.4,197
2,8.7,205
2,9.2,217
2.9,11.9,280
2,9.6,226
2.9,12.4,292
4,11.5,271
5.2,13.7,322
6,14.1,332
6,14.7,346
2,8,188
2,8.7,205
2,9.5,223
2,7.6,177
2,8.7,203
2,8.7,204
2,9.3,217
2,8.7,203
2,8.7,204
2,8.7,203
2,8.7,203
2,9.2,216
3,10,235
3,10,235
3,10.5,247
4,12.4,290
4,12.4,290
2,10.1,236
2,10.3,240
2,9.6,226
2,11,258
3,11.1,260
5.2,13.1,304
5.2,14.5,338
5.2,14.5,338
2.5,10.5,248
2.9,11.1,260
4,13.7,318
2,9.6,223
3,9.9,232
3,9.9,232
3,10.2,239
3,9.9,232
4,12.8,298
4,12.8,298
4,13.4,313
3,11.5,270
2,9.1,209
2,9.1,209
2.5,10.5,245
2,9.5,222
6,15.9,370
6,16.6,389
6,16.6,389
4,15.1,353
6,16.6,389
6.8,17.3,405
2,8.4,197
2,9.4,219
2,8.9,208
2,8.6,202
2,7,184
2,7,184
2,8.9,208
2,8.9,208
2,8.9,208
3,7.8,183
3,10.3,240
3,9.5,223
3,10.5,245
3,10,235
2,9.1,214
2,8.9,208
2,8.9,208
3,7.8,183
3,10.3,240
3,10,235
3,9.5,223
3,10.5,245
3,9.5,223
2,8.9,208
3,10,236
3,10.5,248
3,10.5,248
3,10.3,241
4.4,12.4,292
4.4,12.2,286
4.4,12.4,292
4.4,12.4,292
4.4,12.1,283
4.4,12.4,292
3,10.5,245
3,11.4,267
3,9.5,222
3,10.9,255
3,9.5,222
3,10.7,249
3,9.7,227
3,9.7,227
3,11.9,280
3,11.6,273
3,12.7,299
3,11.9,280
3,11.9,280
3,11.6,273
4.4,12.1,283
4.4,14.7,344
4.4,13.8,324
4.4,14.7,344
4.4,13.8,324
4.4,14.7,344
4.4,13.8,324
6.6,15.1,355
2,9.3,217
2,9.5,222
2,9.5,223
3,10.3,241
2,10.3,240
3,11.4,266
3,9.3,246
3,11.5,270
4.4,13.5,317
4.4,14.6,341
3,11.5,270
4.4,13.5,317
4.4,14.6,341
8,22.2,522
3.6,11.2,263
3.6,11.8,277
1.4,8.3,194
1.4,7.9,185
1.4,8.9,210
1.4,8.3,196
2,10.6,248
2.5,10,234
3.6,9.7,228
2.5,8.1,190
3.6,10.1,237
2,9.2,217
2,9.6,227
3.6,10.7,250
2,9.2,216
2,10.3,240
3.6,10,234
2,9.5,222
3.6,10.5,247
3.6,11.9,291
3.6,12.6,295
2,9.5,224
3,11.2,263
3.6,11.1,261
2,9.5,224
3.6,10,234
2,9.8,229
3.6,10.5,247
3.6,12.7,311
6.2,14,329
6.2,14,329
3.6,10.6,250
3.6,11.2,263
3.6,11.1,260
3.6,11.6,272
3.6,12.8,302
2,9.4,220
2,10.1,235
3.6,10.4,246
3.6,11.7,274
6.2,11.7,273
6.2,12.1,284
6.2,15.4,361
6.2,14.8,348
2,9.3,218
2.5,10.8,253
2.5,10.7,251
2.8,9.6,257
3.6,11.7,274
2.5,11.3,266
2.8,10.4,279
3.6,12.2,288
2.8,11.7,315
3.6,14.1,331
6.2,12.7,297
6.2,11.9,278
6.2,14.3,336
6.2,13.4,312
1.4,7.1,166
1.4,7.4,172
1.4,7.2,169
1.6,6.5,175
1.6,6.3,170
1.4,7.3,172
1.4,7.5,175
1.4,7.5,176
1.6,6.6,178
1.6,6.7,180
1.5,8.3,195
1.6,7.4,198
1.5,8.9,209
1.6,7.4,198
2,9.7,228
2.5,9.5,224
3.6,10.8,254
3.6,14.6,245
1.5,7.8,181
2,9.1,213
1.8,5.1,121
4.3,11.8,278
4.3,17.1,284
5.3,12.7,298
5.3,12.7,298
5.3,17.1,283
5.3,13.1,307
6.2,13.8,324
5.3,11.8,278
4.3,12.5,294
4.3,18,296
5.3,13.1,307
